,Temp9am,Temp3pm,Mean Temperature,Weather,user1,user2,user3,user4,user5
1,17.5,25.7,21.6,hot,2,2,3,5,3
2,15.4,20.2,17.8,hot,3,3,2,2,2
3,13.5,14.1,13.8,warm,5,2,2,3,4
4,11.1,15.4,13.25,warm,1,3,3,5,3
5,10.9,14.8,12.85,warm,2,5,3,3,4
6,12.4,17.3,14.85,warm,1,5,2,4,1
7,12.1,15.5,13.8,warm,4,5,3,5,4
8,14.1,18.9,16.5,hot,3,1,1,2,4
9,13.3,21.7,17.5,hot,1,2,2,3,1
10,14.6,24,19.3,hot,2,2,3,5,4
11,16.8,26,21.4,hot,2,4,4,3,4
12,17,27.1,22.05,hot,3,4,2,4,5
13,19.7,30.7,25.2,too hot,2,4,2,4,4
14,18.7,30.4,24.55,hot,3,4,1,4,4
15,19.1,30.7,24.9,hot,3,2,1,1,3
16,20.2,29.8,25,too hot,3,1,4,3,4
17,20.1,28.6,24.35,hot,2,4,1,4,2
18,20.2,31.2,25.7,too hot,2,1,3,4,2
19,22.8,32,27.4,too hot,2,2,2,5,2
20,22.2,32.8,27.5,too hot,3,3,2,4,1
21,16.5,18.3,17.4,hot,3,5,5,2,4
22,14,16.8,15.4,hot,3,5,2,1,1
23,17.8,22.8,20.3,hot,3,4,3,3,4
24,16.8,27.3,22.05,hot,1,3,5,1,2
25,19.8,25.1,22.45,hot,3,3,1,2,2
26,16.5,21.2,18.85,hot,5,5,2,4,5
27,18.8,26.7,22.75,hot,1,1,4,1,5
28,18.9,19.7,19.3,hot,4,4,3,1,5
29,17.3,23.2,20.25,hot,2,2,1,3,1
30,17,16.3,16.65,hot,4,1,2,2,5
31,16.7,25.2,20.95,hot,2,1,4,2,4
32,20.5,19.9,20.2,hot,2,3,4,2,2
33,18.8,25.1,21.95,hot,2,5,1,2,4
34,18.6,20.5,19.55,hot,5,1,1,3,4
35,18.6,24.5,21.55,hot,3,4,4,2,4
36,21.5,22.6,22.05,hot,3,3,1,4,2
37,18,26.3,22.15,hot,4,2,5,4,1
38,20.6,28.6,24.6,hot,4,5,1,1,2
39,19.3,22.9,21.1,hot,1,1,4,5,4
40,13.8,16.4,15.1,hot,5,5,2,1,1
41,15.7,19.4,17.55,hot,4,1,3,5,1
42,15.8,19.2,17.5,hot,5,3,2,4,5
43,15.8,25,20.4,hot,5,4,4,1,1
44,17.4,29.1,23.25,hot,1,5,5,4,5
45,16.6,20,18.3,hot,5,4,4,3,3
46,15.3,20.8,18.05,hot,5,5,3,4,3
47,15.3,19.8,17.55,hot,4,4,3,5,2
48,16.1,20,18.05,hot,1,2,4,5,4
49,15.3,20.4,17.85,hot,3,3,2,5,5
50,21,28.2,24.6,hot,2,1,2,2,3
51,20.6,19.6,20.1,hot,3,5,1,3,5
52,14.9,18.8,16.85,hot,3,5,3,4,3
53,15,22.5,18.75,hot,4,5,3,3,5
54,12.4,21,16.7,hot,4,2,3,4,3
55,15.3,23.9,19.6,hot,2,2,4,2,1
56,19.8,19,19.4,hot,5,2,4,5,3
57,18.3,27.4,22.85,hot,5,2,1,5,4
58,21.5,30.3,25.9,too hot,4,5,5,4,3
59,23.4,34.3,28.85,too hot,5,5,1,4,4
60,21.9,32.2,27.05,too hot,2,5,1,2,1
61,21.9,31.8,26.85,too hot,5,1,4,5,1
62,23,33.6,28.3,too hot,4,3,3,5,3
63,19.2,22.3,20.75,hot,5,2,3,4,4
64,20.3,23.9,22.1,hot,1,5,4,2,4
65,18.6,26.8,22.7,hot,4,2,5,3,2
66,18.9,31.9,25.4,too hot,5,3,2,5,3
67,20.8,31.3,26.05,too hot,3,1,2,2,4
68,18.1,28,23.05,hot,1,3,2,1,2
69,19.3,27.9,23.6,hot,4,3,5,3,4
70,21.3,32.2,26.75,too hot,3,2,3,3,3
71,24.7,34.5,29.6,too hot,2,4,1,4,2
72,23.6,34,28.8,too hot,5,2,3,3,1
73,23,31.8,27.4,too hot,5,3,3,3,3
74,17,21.6,19.3,hot,4,4,3,5,5
75,18,31.7,24.85,hot,5,4,5,5,2
76,24.5,23.5,24,hot,5,5,4,5,1
77,17.1,23.9,20.5,hot,2,1,1,5,2
78,17.8,19.4,18.6,hot,1,5,5,2,1
79,18,18.6,18.3,hot,1,1,2,1,2
80,19.4,21.9,20.65,hot,4,3,4,1,3
81,17.4,18.6,18,hot,3,5,5,5,5
82,14.7,22.2,18.45,hot,5,4,5,4,2
83,16.2,22.7,19.45,hot,1,2,3,5,1
84,17,26.3,21.65,hot,2,1,5,3,2
85,17.6,24.6,21.1,hot,4,3,4,2,3
86,18.3,28.3,23.3,hot,3,2,2,5,5
87,19.7,30.7,25.2,too hot,3,3,1,3,3
88,22.4,32.1,27.25,too hot,3,3,4,2,5
89,19.8,32.3,26.05,too hot,2,5,2,4,1
90,22.2,33.1,27.65,too hot,5,3,5,3,1
91,21.4,26.3,23.85,hot,5,4,2,2,2
92,16.5,22.9,19.7,hot,1,2,5,4,2
93,19.1,27,23.05,hot,2,3,2,3,4
94,21.7,29.1,25.4,too hot,2,3,5,1,5
95,18.5,22.1,20.3,hot,3,3,4,5,4
96,18.4,21.5,19.95,hot,4,4,4,2,5
97,18.7,26.5,22.6,hot,2,2,5,4,1
